V1,	V2,	V3,	V4,	V5,	V6,	V7,	V8,	V9,	V10,	V11,	V12,	V13,	V14
121,	0.16438,	c,	b,	0.53333,	c,	i,	a,	NA,	a,	0.0,	0.0,	0.60204,	a,	0
122,	0.34246,	c,	NA,	0.79998,	NA,	e,	f,	NA,	a,	nan,	0.0,	0.49997,	a,	0
123,	0.69862,	NA,	l,	0.06666,	c,	NA,	a,	a,	b,	0.0,	0.0,	0.19387,	a,	0
124,	0.10958,	c,	b,	0.53333,	a,	NA,	NA,	a,	b,	0.0,	nan,	0.39794,	NA,	0
125,	0.36987,	NA,	d,	0.86665,	NA,	NA,	NA,	NA,	b,	0.0,	0.0,	0.39794,	a,	0
126,	0.15068,	c,	b,	0.53333,	a,	j,	a,	e,	NA,	0.0,	0.0,	0.39794,	f,	0
127,	0.26026,	c,	h,	0.59999,	c,	e,	e,	NA,	b,	0.0,	nan,	nan,	d,	0
128,	0.30136,	d,	f,	0.73332,	a,	j,	a,	a,	a,	nan,	0.0,	0.41836,	a,	0
129,	nan,	a,	d,	0.86665,	g,	k,	e,	a,	a,	0.0,	0.0,	nan,	a,	0
130,	nan,	c,	c,	0.40000,	a,	b,	d,	NA,	NA,	0.0,	nan,	0.15306,	a,	0
131,	0.67120,	f,	i,	0.66665,	g,	c,	a,	a,	NA,	0.0,	nan,	nan,	NA,	0
132,	0.13698,	NA,	b,	0.53333,	a,	e,	a,	a,	a,	0.0,	nan,	nan,	a,	0
133,	nan,	a,	b,	0.53333,	b,	k,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
134,	nan,	c,	a,	0.79998,	a,	i,	a,	a,	a,	0.0,	0.0,	nan,	a,	0
135,	nan,	c,	b,	0.53333,	f,	l,	e,	a,	NA,	0.0,	nan,	0.24489,	a,	0
136,	0.05479,	c,	NA,	0.53333,	a,	i,	d,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
137,	0.23289,	c,	b,	0.53333,	a,	NA,	a,	b,	a,	0.0,	nan,	nan,	a,	0
138,	0.01369,	c,	b,	0.53333,	a,	e,	d,	a,	a,	0.0,	0.0,	0.11224,	a,	0
139,	0.21916,	c,	NA,	0.79998,	b,	c,	b,	a,	a,	nan,	nan,	0.65304,	a,	0
140,	0.35614,	c,	h,	0.59999,	NA,	a,	a,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
141,	0.17808,	c,	NA,	nan,	a,	i,	a,	b,	a,	0.0,	0.0,	0.44897,	a,	0
142,	0.23289,	c,	b,	0.53333,	b,	a,	NA,	b,	a,	0.0,	0.0,	0.39794,	a,	0
143,	0.32877,	b,	NA,	0.79998,	c,	j,	a,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
144,	0.49312,	NA,	NA,	0.79998,	c,	NA,	a,	a,	b,	0.0,	0.0,	0.49997,	a,	0
145,	0.19177,	NA,	d,	nan,	b,	c,	c,	a,	b,	0.0,	nan,	0.49997,	a,	0
146,	0.28767,	NA,	h,	nan,	c,	NA,	NA,	NA,	b,	0.0,	0.0,	nan,	a,	0
147,	0.09588,	c,	h,	0.59999,	b,	NA,	b,	a,	NA,	0.0,	0.0,	nan,	NA,	0
148,	0.32877,	f,	a,	nan,	b,	NA,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
149,	0.41097,	c,	h,	0.59999,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.44897,	a,	0
150,	nan,	d,	a,	0.79998,	b,	h,	b,	a,	NA,	nan,	0.0,	0.23469,	NA,	0
151,	0.08218,	c,	j,	0.13333,	b,	g,	f,	NA,	a,	0.0,	0.0,	0.39794,	d,	0
152,	0.26026,	c,	h,	0.59999,	c,	i,	a,	a,	NA,	0.0,	nan,	0.39794,	a,	0
153,	0.09588,	NA,	b,	0.53333,	NA,	l,	a,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
154,	0.12328,	c,	d,	0.86665,	a,	c,	a,	a,	NA,	0.0,	0.43065,	0.39794,	a,	0
155,	0.02739,	NA,	b,	nan,	a,	NA,	d,	a,	NA,	0.0,	0.0,	0.39794,	h,	0
156,	0.34246,	f,	h,	0.59999,	a,	NA,	NA,	a,	b,	0.0,	0.30761,	0.39794,	a,	0
157,	0.27395,	NA,	b,	0.53333,	c,	a,	e,	a,	b,	0.0,	0.0,	0.34694,	a,	0
158,	0.01369,	c,	NA,	0.40000,	a,	l,	NA,	a,	b,	nan,	0.0,	0.39794,	a,	0
159,	0.24657,	c,	b,	0.53333,	c,	i,	a,	a,	a,	0.0,	nan,	0.60204,	a,	0
160,	0.0,	c,	c,	0.40000,	a,	l,	d,	a,	b,	0.0,	0.0,	0.11224,	a,	0
161,	0.36987,	NA,	b,	0.53333,	b,	g,	NA,	b,	a,	0.0,	0.0,	0.39794,	a,	0
162,	0.24657,	c,	NA,	0.59999,	a,	l,	a,	c,	b,	0.0,	nan,	nan,	a,	0
163,	0.58905,	c,	NA,	0.53333,	b,	i,	b,	e,	a,	0.0,	0.0,	0.39794,	a,	0
164,	0.45203,	NA,	f,	nan,	c,	l,	NA,	a,	b,	0.0,	0.0,	0.39794,	a,	0
165,	0.28767,	c,	a,	0.79998,	b,	l,	b,	a,	a,	0.0,	0.0,	0.49997,	NA,	0
166,	0.38356,	NA,	a,	0.79998,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.55101,	a,	0
167,	0.10958,	NA,	k,	0.33333,	a,	i,	a,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
168,	nan,	c,	h,	0.59999,	b,	b,	b,	a,	a,	0.0,	nan,	0.39794,	a,	0
169,	nan,	NA,	l,	0.06666,	c,	NA,	NA,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
170,	1.0,	c,	b,	0.53333,	a,	e,	a,	b,	a,	0.0,	0.50641,	0.39794,	a,	0
171,	0.50685,	c,	b,	0.53333,	NA,	a,	b,	b,	a,	0.0,	0.0,	0.19387,	a,	0
172,	0.49312,	f,	m,	0.0,	a,	d,	a,	a,	b,	0.0,	0.0,	0.34694,	a,	0
173,	0.01369,	c,	NA,	0.53333,	a,	l,	d,	a,	b,	nan,	nan,	0.39794,	NA,	0
174,	0.58905,	NA,	k,	0.33333,	c,	NA,	a,	c,	b,	0.0,	0.0,	0.09183,	a,	0
175,	nan,	b,	b,	0.53333,	b,	f,	b,	NA,	a,	nan,	0.0,	nan,	a,	0
176,	nan,	c,	i,	0.66665,	NA,	a,	a,	a,	b,	0.0,	0.0,	0.19387,	i,	0
177,	0.65752,	c,	b,	0.53333,	NA,	a,	a,	a,	b,	0.0,	0.0,	0.39794,	a,	0
178,	0.24657,	c,	NA,	0.40000,	d,	g,	a,	b,	NA,	nan,	0.0,	0.39794,	a,	0
179,	0.32877,	c,	b,	nan,	NA,	l,	e,	b,	b,	0.0,	0.0,	0.37755,	a,	0
180,	0.10958,	c,	h,	nan,	a,	a,	a,	a,	a,	0.0,	0.0,	0.41836,	a,	0
181,	0.21916,	c,	h,	0.59999,	c,	NA,	f,	d,	b,	0.0,	0.0,	0.39794,	a,	0
182,	0.57532,	a,	NA,	0.53333,	b,	e,	b,	a,	a,	nan,	nan,	0.39794,	a,	0
183,	0.31504,	a,	h,	0.59999,	a,	a,	a,	a,	b,	nan,	0.0,	0.37755,	a,	0
184,	0.08218,	c,	b,	0.53333,	a,	g,	d,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
185,	0.32877,	b,	b,	nan,	NA,	NA,	c,	a,	b,	nan,	0.0,	0.19387,	a,	0
186,	0.09588,	NA,	NA,	0.73332,	b,	NA,	b,	a,	NA,	0.0,	0.0,	0.49997,	a,	0
187,	0.04109,	NA,	NA,	0.59999,	NA,	NA,	d,	a,	NA,	0.0,	0.0,	0.19387,	a,	0
188,	0.28767,	c,	NA,	0.59999,	c,	NA,	a,	a,	a,	0.0,	0.39966,	nan,	a,	0
189,	nan,	c,	b,	nan,	b,	a,	b,	a,	NA,	0.0,	nan,	0.34694,	NA,	0
190,	0.20548,	c,	b,	0.53333,	a,	e,	a,	a,	NA,	nan,	0.0,	0.33674,	a,	0
191,	0.38356,	c,	b,	nan,	b,	a,	b,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
192,	0.34246,	c,	NA,	0.79998,	b,	a,	c,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
193,	0.57532,	f,	k,	0.33333,	g,	e,	NA,	b,	b,	0.0,	0.0,	0.29591,	a,	0
194,	0.02739,	NA,	NA,	0.59999,	a,	NA,	d,	a,	NA,	0.0,	0.0,	0.39794,	NA,	0
195,	nan,	c,	h,	0.59999,	a,	NA,	a,	a,	a,	0.0,	0.0,	0.19387,	a,	0
196,	0.04109,	c,	b,	0.53333,	NA,	e,	d,	a,	b,	0.0,	0.0,	nan,	a,	0
197,	0.20548,	NA,	b,	0.53333,	d,	e,	a,	a,	b,	nan,	nan,	0.29591,	a,	0
198,	0.38356,	c,	i,	nan,	g,	j,	a,	NA,	b,	0.0,	0.0,	0.44897,	NA,	0
199,	0.45203,	NA,	NA,	0.19998,	NA,	i,	NA,	a,	NA,	0.0,	nan,	nan,	a,	0
200,	0.26026,	c,	NA,	0.79998,	c,	c,	d,	a,	b,	nan,	0.0,	0.39794,	NA,	0
201,	nan,	c,	NA,	0.53333,	b,	l,	b,	a,	a,	0.0,	nan,	0.60204,	a,	0
202,	0.0,	c,	c,	0.40000,	NA,	e,	NA,	a,	a,	0.0,	0.0,	nan,	a,	0
203,	0.57532,	NA,	h,	0.59999,	b,	l,	b,	a,	a,	0.04063,	nan,	0.39794,	a,	0
204,	0.12328,	c,	c,	0.40000,	b,	i,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
205,	0.02739,	NA,	NA,	0.59999,	a,	NA,	d,	a,	a,	0.0,	0.0,	0.23469,	j,	0
206,	0.21916,	c,	a,	0.79998,	a,	c,	a,	a,	b,	0.0,	0.0,	0.44897,	a,	0
207,	nan,	c,	e,	0.26665,	a,	e,	d,	a,	a,	0.01055,	0.0,	0.23469,	a,	0
208,	0.45203,	b,	d,	0.86665,	b,	f,	NA,	a,	a,	nan,	0.0,	0.98977,	a,	0
209,	0.13698,	f,	d,	0.86665,	NA,	c,	d,	a,	NA,	nan,	0.0,	0.34694,	a,	0
210,	0.17808,	NA,	b,	0.53333,	NA,	NA,	d,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
211,	0.35614,	NA,	b,	0.53333,	b,	b,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
212,	0.24657,	c,	h,	0.59999,	a,	NA,	NA,	NA,	b,	0.0,	0.0,	0.39794,	a,	0
213,	0.10958,	NA,	h,	0.59999,	a,	NA,	d,	a,	b,	0.0,	0.0,	0.39794,	NA,	0
214,	0.06849,	c,	a,	0.79998,	a,	c,	a,	a,	b,	0.0,	0.0,	nan,	g,	0
215,	0.23289,	NA,	f,	nan,	c,	l,	e,	b,	b,	0.0,	0.0,	0.44897,	a,	0
216,	0.58905,	c,	a,	0.79998,	c,	NA,	a,	NA,	b,	0.0,	0.0,	0.41836,	a,	0
217,	0.05479,	c,	b,	0.53333,	a,	NA,	d,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
218,	0.45203,	c,	h,	0.59999,	c,	e,	a,	a,	a,	nan,	0.0,	nan,	a,	0
219,	0.10958,	c,	NA,	0.79998,	a,	j,	a,	a,	b,	0.0,	0.0,	0.39794,	a,	0
220,	0.45203,	c,	g,	0.19998,	NA,	NA,	b,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
221,	0.26026,	NA,	a,	0.79998,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.44897,	NA,	0
222,	0.19177,	c,	b,	0.53333,	c,	c,	NA,	a,	b,	0.0,	0.0,	0.39794,	a,	0
223,	0.16438,	f,	a,	0.79998,	a,	k,	a,	NA,	a,	0.0,	0.0,	nan,	a,	0
224,	0.05479,	c,	h,	0.59999,	NA,	l,	d,	a,	a,	0.0,	0.0,	0.44897,	a,	0
225,	nan,	c,	a,	0.79998,	a,	h,	e,	b,	b,	0.0,	nan,	0.39794,	a,	0
226,	0.65752,	c,	b,	0.53333,	b,	g,	b,	a,	a,	0.0,	0.0,	0.15306,	a,	0
227,	0.27395,	e,	a,	nan,	NA,	l,	NA,	NA,	b,	0.0,	0.0,	0.60204,	NA,	0
228,	0.30136,	NA,	d,	0.86665,	b,	NA,	c,	NA,	b,	0.03463,	nan,	0.39794,	NA,	0
229,	0.09588,	c,	NA,	0.53333,	a,	i,	d,	a,	a,	0.0,	0.0,	0.39794,	a,	0
230,	0.28767,	c,	b,	nan,	c,	l,	a,	a,	a,	0.0,	0.0,	0.80612,	a,	0
231,	0.05479,	c,	h,	0.59999,	NA,	e,	NA,	e,	NA,	0.0,	0.0,	0.24489,	a,	0
232,	0.09588,	c,	h,	0.59999,	b,	a,	c,	e,	b,	0.0,	0.0,	0.39794,	k,	0
233,	0.35614,	c,	b,	nan,	c,	a,	a,	a,	b,	0.0,	0.0,	0.39794,	a,	0
234,	nan,	NA,	f,	0.73332,	a,	h,	NA,	a,	a,	0.0,	nan,	nan,	a,	0
235,	0.39724,	c,	f,	0.73332,	a,	c,	a,	a,	b,	0.0,	0.0,	0.32651,	NA,	0
236,	0.12328,	NA,	a,	0.79998,	a,	l,	a,	a,	a,	0.0,	0.0,	0.39794,	a,	0
237,	0.02739,	NA,	h,	0.59999,	a,	NA,	d,	NA,	b,	0.0,	0.0,	0.24489,	a,	0
238,	0.06849,	c,	h,	nan,	a,	l,	d,	a,	a,	nan,	nan,	0.14285,	a,	0
239,	0.09588,	c,	NA,	0.59999,	a,	d,	a,	a,	a,	0.0,	0.0,	0.39794,	a,	0
240,	0.82191,	b,	NA,	0.59999,	NA,	l,	b,	a,	a,	0.0,	nan,	nan,	NA,	0
241,	0.06849,	c,	j,	0.13333,	b,	d,	f,	a,	b,	0.0,	0.0,	0.39794,	d,	0
242,	0.16438,	c,	h,	0.59999,	a,	h,	a,	a,	NA,	0.0,	0.0,	nan,	a,	0
