V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
54,9.8676,80,20,4.138,89,85,73,21,37,0,NA,12.732,98,-
55,7.3211,80,90,3.1831,NA,NA,NA,101,59,NA,0,12.732,NA,-
56,NA,80,90,3.1831,61,82,70,101,59,0,0,6.3662,98,-
57,8.5944,NA,42,2.8648,65,71,73,101,59,NA,0,12.732,64,-
58,12.732,80,18,NA,61,14,49,NA,NA,0,0,12.732,98,-
59,21.327,NA,2,NA,61,NA,NA,NA,59,0,0,0.63662,NA,-
60,5.7296,NA,3,2.2282,65,NA,73,NA,37,0,0,NA,98,-
61,NA,57,7,1.2732,61,35,49,101,59,0,0,12.732,98,-
62,5.7296,80,42,2.8648,65,85,NA,101,59,0,0,9.5493,98,-
63,16.552,80,20,4.138,61,71,49,NA,59,0,NA,12.732,27,-
64,NA,80,NA,2.8648,61,71,103,101,37,0,0,12.732,NA,-
65,NA,80,42,NA,61,85,NA,101,59,0,0,15.279,NA,-
66,16.87,80,42,2.8648,NA,85,73,NA,NA,0,0,11.141,NA,-
67,10.504,NA,63,4.4563,61,82,NA,101,59,0,0,15.915,98,-
68,9.5493,80,8,NA,65,85,68,101,59,0,NA,NA,98,-
69,18.144,NA,19,3.5014,NA,NA,49,101,59,0,0,NA,98,-
70,11.777,80,NA,3.1831,28,26,99,101,NA,0,0,12.732,98,-
71,8.9127,NA,90,3.1831,28,58,99,21,37,0,0,7.9577,98,-
72,9.5493,80,42,2.8648,61,85,NA,17,37,0,500.7,NA,NA,-
73,9.231,57,NA,3.1831,65,NA,68,101,59,0,0,15.915,98,-
74,15.279,80,18,3.8197,28,34,99,101,37,0,0,12.732,33,-
75,10.186,NA,42,2.8648,65,71,73,21,59,0,0,12.732,98,-
76,14.961,88,63,4.4563,NA,82,68,101,37,0,0,NA,NA,-
77,6.3662,80,90,3.1831,NA,94,73,101,37,0,0,12.732,98,-
78,9.231,NA,42,2.8648,65,26,68,101,59,0,0,12.732,98,-
79,5.4113,NA,NA,NA,65,NA,73,101,37,10853,NA,NA,98,-
80,9.5493,NA,3,2.2282,65,NA,73,NA,NA,NA,0,12.732,98,-
81,9.8676,57,42,2.8648,NA,14,68,101,37,0,0,12.732,98,-
82,13.369,80,42,2.8648,61,44,49,101,59,0,0,NA,98,-
83,7.6394,NA,20,4.138,65,85,70,101,NA,0,0,NA,98,-
84,8.9127,80,90,3.1831,NA,85,NA,101,37,1293.6,NA,7.9577,98,-
85,NA,NA,42,2.8648,65,58,73,101,37,0,0,12.732,98,-
86,16.87,80,8,1.5915,61,NA,49,101,59,0,0,15.915,98,-
87,17.825,87,90,3.1831,NA,85,49,101,59,0,0,15.915,98,-
88,NA,80,NA,3.1831,NA,85,49,NA,NA,NA,0,NA,98,-
89,7.0028,80,42,2.8648,65,26,68,101,59,0,NA,13.051,98,-
90,6.6845,80,90,3.1831,65,71,73,101,37,0,0,12.732,98,-
91,NA,80,20,NA,61,34,49,101,NA,0,0,19.099,98,-
92,9.5493,80,NA,NA,65,34,73,21,59,0,0,12.732,39,-
93,6.0479,80,90,3.1831,65,71,73,21,NA,0,NA,11.141,NA,-
94,NA,80,90,3.1831,65,NA,73,101,37,0,547.17,8.9127,98,-
95,11.141,NA,42,2.8648,61,NA,49,NA,59,0,0,12.732,NA,-
96,12.414,NA,90,3.1831,28,26,68,101,59,0,NA,12.732,98,-
97,8.9127,80,18,3.8197,65,85,68,NA,37,0,NA,19.099,98,-
98,7.6394,80,42,2.8648,NA,71,68,101,NA,0,560.86,12.732,98,-
99,12.096,88,42,NA,NA,NA,49,NA,59,1396.1,0,NA,98,-
100,11.777,80,20,4.138,61,85,NA,NA,59,0,NA,15.915,98,-
101,14.642,80,18,NA,28,94,68,NA,NA,0,NA,11.459,98,-
102,13.687,88,42,2.8648,61,26,49,NA,59,0,0,19.099,98,-
103,NA,80,19,3.5014,61,14,103,NA,37,NA,0,11.141,98,-
104,6.3662,80,90,3.1831,65,85,NA,101,NA,0,NA,NA,98,-
105,NA,NA,42,2.8648,61,26,49,101,59,0,NA,12.732,98,-
106,8.5944,80,90,3.1831,65,85,73,101,37,0,0,12.732,98,-
107,6.0479,80,90,3.1831,65,71,73,101,59,0,0,9.5493,64,-
108,22.282,80,90,3.1831,NA,94,NA,101,NA,0,0,12.732,98,-
109,9.8676,80,42,2.8648,65,96,99,21,37,NA,0,9.5493,98,-
110,7.0028,80,NA,3.1831,61,71,NA,101,NA,0,0,7.6394,98,-
111,NA,80,42,2.8648,102,NA,NA,101,37,0,NA,7.6394,98,-
112,20.372,80,3,2.2282,61,NA,49,NA,59,0,693.6,12.732,98,-
113,13.687,NA,90,3.1831,28,NA,68,101,NA,0,0,NA,98,-
114,14.961,57,90,3.1831,28,14,99,101,37,0,0,12.096,64,-
115,10.823,80,42,2.8648,NA,14,NA,101,37,NA,0,12.732,98,-
116,10.504,NA,20,NA,65,34,70,17,37,0,0,NA,NA,-
117,6.6845,80,NA,2.8648,65,26,73,101,59,0,NA,NA,98,-
118,NA,80,42,NA,61,26,49,NA,59,0,NA,14.642,NA,-
119,7.3211,80,20,4.138,NA,44,NA,101,59,0,0,12.732,98,-
120,22.6,NA,NA,3.1831,89,85,99,21,59,NA,NA,0.63662,NA,-
121,9.231,80,42,2.8648,28,26,68,NA,59,0,0,19.099,98,-
122,13.369,80,NA,4.138,NA,71,70,NA,59,NA,0,15.915,98,-
123,21.645,NA,5,0.63662,28,NA,68,101,37,0,0,6.3662,98,-
124,7.9577,80,42,2.8648,65,NA,NA,101,37,0,NA,12.732,NA,-
125,14.006,NA,63,4.4563,NA,NA,NA,NA,37,0,0,12.732,98,-
126,8.9127,80,42,2.8648,65,34,68,17,NA,0,0,12.732,33,-
127,11.459,80,90,3.1831,28,71,99,NA,37,0,NA,NA,64,-
128,12.414,36,18,3.8197,65,34,68,101,59,NA,0,13.369,98,-
129,NA,92,63,4.4563,102,83,99,101,59,0,0,NA,98,-
130,NA,80,3,2.2282,65,44,73,NA,NA,0,NA,5.093,98,-
131,21.008,57,19,3.5014,102,82,68,101,NA,0,NA,NA,NA,-
132,8.5944,NA,42,2.8648,65,71,68,101,59,0,NA,NA,98,-
133,NA,92,42,2.8648,61,83,49,101,59,0,0,12.732,98,-
134,NA,80,20,4.138,65,26,68,101,59,0,0,NA,98,-
135,NA,80,42,2.8648,62,85,99,101,NA,0,NA,7.9577,98,-
136,6.6845,80,NA,2.8648,65,26,73,NA,59,0,0,12.732,98,-
137,10.823,80,42,2.8648,65,NA,68,21,59,0,NA,NA,98,-
138,5.7296,80,42,2.8648,65,71,73,101,59,0,0,3.8197,98,-
139,10.504,80,NA,4.138,61,82,49,101,59,NA,NA,20.69,98,-
140,13.687,80,90,3.1831,NA,14,68,101,NA,0,0,12.732,98,-
141,9.5493,80,NA,NA,65,26,68,21,59,0,0,14.324,98,-
142,10.823,80,42,2.8648,61,14,NA,21,59,0,0,12.732,98,-
143,13.051,88,NA,4.138,28,34,68,101,NA,0,0,12.732,98,-
144,16.87,NA,NA,4.138,28,NA,68,101,37,0,0,15.915,98,-
145,9.8676,NA,63,NA,61,82,103,101,37,0,NA,15.915,98,-
146,12.096,NA,90,NA,28,NA,NA,NA,37,0,0,NA,98,-
147,7.6394,80,90,3.1831,61,NA,49,101,NA,0,0,NA,NA,-
148,13.051,57,20,NA,61,NA,49,NA,59,0,0,12.732,98,-
149,14.961,80,90,3.1831,61,NA,49,101,59,0,0,14.324,98,-
150,NA,36,20,4.138,61,94,49,101,NA,NA,0,7.6394,NA,-
151,7.3211,80,6,0.95493,61,96,70,NA,59,0,0,12.732,64,-
152,11.459,80,90,3.1831,28,26,68,101,NA,0,NA,12.732,98,-
153,7.6394,NA,42,2.8648,NA,85,68,NA,59,0,0,12.732,98,-
154,8.2761,80,63,4.4563,65,82,68,101,NA,0,597.15,12.732,98,-
155,6.0479,NA,42,NA,65,NA,73,101,NA,0,0,12.732,53,-
156,13.369,57,90,3.1831,65,NA,NA,101,37,0,426.54,12.732,98,-
157,11.777,NA,42,2.8648,28,14,99,101,37,0,0,11.141,98,-
158,5.7296,80,NA,2.2282,65,85,NA,101,37,NA,0,12.732,98,-
159,11.141,80,42,2.8648,28,26,68,101,59,0,NA,19.099,98,-
160,5.4113,80,3,2.2282,65,85,73,101,37,0,0,3.8197,98,-
161,14.006,NA,42,2.8648,61,96,NA,21,59,0,0,12.732,98,-
162,11.141,80,NA,3.1831,65,85,68,15,37,0,NA,NA,98,-
163,19.099,80,NA,2.8648,61,26,49,17,59,0,0,12.732,98,-
164,15.915,NA,18,NA,28,85,NA,101,37,0,0,12.732,98,-
165,12.096,80,20,4.138,61,85,49,101,59,0,0,15.915,NA,-
166,14.324,NA,20,4.138,61,NA,49,101,59,0,0,17.507,98,-
167,7.9577,NA,2,1.9099,65,26,68,NA,NA,0,0,12.732,98,-
168,NA,80,90,3.1831,61,44,49,101,59,0,NA,12.732,98,-
169,NA,NA,5,0.63662,28,NA,NA,101,59,0,0,12.732,NA,-
170,28.648,80,42,2.8648,65,71,68,21,59,0,702.19,12.732,98,-
171,17.189,80,42,2.8648,NA,14,49,21,59,0,0,6.3662,98,-
172,16.87,57,78,0.31831,65,58,68,101,37,0,0,11.141,98,-
173,5.7296,80,NA,2.8648,65,85,73,101,37,NA,NA,12.732,NA,-
174,19.099,NA,2,1.9099,28,NA,68,15,37,0,0,3.1831,98,-
175,NA,88,42,2.8648,61,35,49,NA,59,NA,0,NA,98,-
176,NA,80,19,3.5014,NA,14,68,101,37,0,0,6.3662,25,-
177,20.69,80,42,2.8648,NA,14,68,101,37,0,0,12.732,98,-
178,11.141,80,NA,2.2282,89,96,68,21,NA,NA,0,12.732,98,-
179,13.051,80,42,NA,NA,85,99,21,37,0,0,12.096,98,-
180,7.9577,80,90,NA,65,14,68,101,59,0,0,13.369,98,-
181,10.504,80,90,3.1831,28,NA,70,69,37,0,0,12.732,98,-
182,18.78,92,NA,2.8648,61,71,49,101,59,NA,NA,12.732,98,-
183,12.732,92,90,3.1831,65,14,68,101,37,NA,0,12.096,98,-
184,7.3211,80,42,2.8648,65,96,73,101,59,0,0,12.732,NA,-
185,13.051,88,42,NA,NA,NA,103,101,37,NA,0,6.3662,98,-
186,7.6394,NA,NA,3.8197,61,NA,49,101,NA,0,0,15.915,98,-
187,6.3662,NA,NA,3.1831,NA,NA,73,101,NA,0,0,6.3662,98,-
188,12.096,80,NA,3.1831,28,NA,68,101,59,0,554.18,NA,98,-
189,NA,80,42,NA,61,14,49,101,NA,0,NA,11.141,NA,-
190,10.186,80,42,2.8648,65,71,68,101,NA,NA,0,10.823,98,-
191,14.324,80,42,NA,61,14,49,101,59,0,0,12.732,NA,-
192,13.369,80,NA,4.138,61,14,103,NA,NA,0,0,12.732,98,-
193,18.78,57,2,1.9099,102,71,NA,21,37,0,0,9.5493,98,-
194,6.0479,NA,NA,3.1831,65,NA,73,101,NA,0,0,12.732,NA,-
195,NA,80,90,3.1831,65,NA,68,101,59,0,0,6.3662,98,-
196,6.3662,80,42,2.8648,NA,71,73,101,37,0,0,NA,98,-
197,10.186,NA,42,2.8648,89,71,68,101,37,NA,NA,9.5493,98,-
198,14.324,80,19,NA,102,34,68,NA,37,0,0,14.324,NA,-
199,15.915,NA,NA,1.2732,NA,26,NA,101,NA,0,NA,NA,98,-
200,11.459,80,NA,4.138,28,82,73,101,37,NA,0,12.732,NA,-
201,NA,80,NA,2.8648,61,85,49,101,59,0,NA,19.099,98,-
202,5.4113,80,3,2.2282,NA,71,NA,101,59,0,0,NA,98,-
203,18.78,NA,90,3.1831,61,85,49,101,59,1293.6,NA,12.732,98,-
204,8.2761,80,3,2.2282,61,26,49,NA,59,0,0,12.732,98,-
205,6.0479,NA,NA,3.1831,65,NA,73,101,59,0,0,7.6394,23,-
206,10.504,80,20,4.138,65,82,68,101,37,0,0,14.324,98,-
207,NA,80,8,1.5915,65,71,73,101,59,335.82,0,7.6394,98,-
208,15.915,88,63,4.4563,61,35,NA,101,59,NA,0,31.194,98,-
209,8.5944,57,63,4.4563,NA,82,73,101,NA,NA,0,11.141,98,-
210,9.5493,NA,42,2.8648,NA,NA,73,101,NA,0,0,12.732,98,-
211,13.687,NA,42,2.8648,61,44,49,NA,59,0,0,12.732,98,-
212,11.141,80,90,3.1831,65,NA,NA,NA,37,0,0,12.732,98,-
213,7.9577,NA,90,3.1831,65,NA,73,101,37,0,0,12.732,NA,-
214,7.0028,80,20,4.138,65,82,68,101,37,0,0,NA,39,-
215,10.823,NA,18,NA,28,85,99,21,37,0,0,14.324,98,-
216,19.099,80,20,4.138,28,NA,68,NA,37,0,0,13.369,98,-
217,6.6845,80,42,2.8648,65,NA,73,NA,59,0,0,12.732,98,-
218,15.915,80,90,3.1831,28,71,68,101,59,NA,0,NA,98,-
219,7.9577,80,NA,4.138,65,34,68,101,37,0,0,12.732,98,-
220,15.915,80,7,1.2732,NA,NA,49,101,59,0,0,12.732,NA,-
221,11.459,NA,20,4.138,61,NA,49,101,59,0,0,14.324,NA,-
222,9.8676,80,42,2.8648,28,82,NA,101,37,0,0,12.732,98,-
223,9.231,57,20,4.138,65,83,68,NA,59,0,0,NA,98,-
224,6.6845,80,90,3.1831,NA,85,73,101,59,0,0,14.324,98,-
225,NA,80,20,4.138,65,94,99,21,37,0,NA,12.732,98,-
226,20.69,80,42,2.8648,61,96,49,101,59,0,0,5.093,98,-
227,11.777,87,20,NA,NA,85,NA,NA,37,0,0,19.099,NA,-
228,12.414,NA,63,4.4563,61,NA,103,NA,37,1102.6,NA,12.732,NA,-
229,7.6394,80,NA,2.8648,65,26,73,101,59,0,0,12.732,98,-
230,12.096,80,42,NA,28,85,68,101,59,0,0,25.465,98,-
231,6.6845,80,90,3.1831,NA,71,NA,17,NA,0,0,7.9577,98,-
232,7.6394,80,90,3.1831,61,14,103,17,37,0,0,12.732,56,-
233,13.687,80,42,NA,28,14,68,101,37,0,0,12.732,98,-
234,NA,NA,18,3.8197,65,94,NA,101,59,0,NA,NA,98,-
235,14.642,80,18,3.8197,65,82,68,101,37,0,0,10.504,NA,-
236,8.2761,NA,20,4.138,65,85,68,101,59,0,0,12.732,98,-
237,6.0479,NA,90,3.1831,65,NA,73,NA,37,0,0,7.9577,98,-
238,7.0028,80,90,NA,65,85,73,101,59,NA,NA,4.7746,98,-
239,7.6394,80,NA,3.1831,65,58,68,101,59,0,0,12.732,98,-
240,24.51,88,NA,3.1831,NA,85,49,101,59,0,NA,NA,NA,-
241,7.0028,80,6,0.95493,61,58,70,101,37,0,0,12.732,64,-
242,9.231,80,90,3.1831,65,94,68,101,NA,0,0,NA,98,-
243,19.735,80,42,2.8648,102,71,68,101,37,0,0,7.6394,98,-
244,12.414,88,42,2.8648,61,34,49,NA,59,0,0,NA,98,-
245,NA,80,90,3.1831,61,26,49,101,59,0,472.69,15.915,NA,-
246,11.141,80,NA,2.8648,28,96,68,101,59,0,0,NA,98,-
247,9.231,80,3,2.2282,65,34,68,101,37,0,0,12.732,98,-
248,24.192,88,63,NA,61,NA,49,101,59,0,0,3.1831,98,-
249,NA,NA,NA,2.8648,61,NA,49,NA,59,0,0,14.324,98,-
250,7.3211,NA,19,NA,65,NA,73,21,37,0,0,4.7746,NA,-
251,18.462,88,42,2.8648,61,44,49,101,NA,0,0,12.732,98,-
252,21.008,80,NA,2.8648,65,96,68,101,59,652.54,NA,17.507,98,-
253,13.051,80,90,3.1831,NA,26,68,21,59,NA,0,14.324,98,-
254,8.2761,80,20,4.138,65,14,68,101,59,0,0,12.732,98,-
255,14.961,80,19,3.5014,65,NA,68,NA,59,0,0,12.732,98,-
256,17.507,57,2,1.9099,61,14,49,101,59,0,0,12.732,98,-
257,NA,80,NA,NA,61,96,49,101,59,0,0,12.732,98,-
258,5.4113,80,NA,0.95493,65,71,70,101,NA,0,0,15.279,64,-
259,9.5493,NA,NA,2.8648,65,NA,70,NA,59,0,0,12.732,NA,-
260,15.597,80,63,NA,NA,82,68,101,59,0,0,19.099,98,-
261,NA,80,42,2.8648,65,85,99,21,NA,0,0,9.5493,43,-
262,14.324,80,42,2.8648,61,71,49,21,59,0,NA,12.732,98,-
263,8.2761,80,18,3.8197,65,NA,68,101,59,0,0,12.732,98,-
264,NA,80,42,2.8648,65,35,NA,101,59,0,NA,6.3662,98,-
265,7.0028,92,90,3.1831,65,83,73,21,37,0,0,12.732,NA,-
266,13.687,88,NA,4.138,65,85,68,101,NA,0,0,NA,NA,-
267,21.327,NA,3,NA,61,NA,49,NA,59,0,0,2.5465,98,-
268,NA,NA,19,3.5014,28,NA,99,101,37,0,NA,12.732,98,-
269,17.825,80,18,3.8197,62,71,68,101,59,0,0,7.9577,51,-
270,9.8676,80,20,4.138,65,82,73,101,59,0,NA,7.9577,98,-
271,NA,NA,42,NA,NA,71,49,NA,59,0,0,12.732,98,-
272,14.642,NA,3,NA,61,NA,49,101,NA,0,0,9.5493,98,-
273,20.69,80,3,2.2282,102,71,99,69,59,0,0,12.732,98,-
274,NA,NA,42,2.8648,61,14,103,101,37,0,0,11.141,98,-
275,8.2761,NA,8,1.5915,61,26,49,101,NA,0,0,12.732,77,-
276,11.459,80,NA,NA,61,71,103,101,37,0,0,7.6394,98,-
277,13.687,80,20,4.138,61,96,49,101,59,0,NA,NA,98,-
278,7.0028,80,42,NA,62,85,68,101,59,NA,0,17.507,NA,-
279,NA,80,42,2.8648,61,26,49,101,59,0,NA,12.732,NA,-
280,NA,NA,90,3.1831,61,NA,49,101,59,0,0,14.324,98,-
281,7.0028,NA,18,3.8197,65,85,NA,101,37,0,0,4.7746,98,-
282,12.414,80,42,2.8648,28,85,99,101,NA,0,0,NA,98,-
283,8.2761,36,NA,3.1831,65,14,99,101,37,0,0,4.7746,98,-
284,5.4113,80,3,2.2282,65,NA,73,NA,NA,NA,NA,3.1831,NA,-
285,14.324,80,42,2.8648,61,NA,49,21,59,NA,0,12.732,98,-
286,14.006,80,42,2.8648,65,26,68,21,59,0,0,12.732,98,-
287,6.3662,57,90,3.1831,65,NA,NA,NA,NA,0,0,3.1831,98,-
288,NA,80,42,2.8648,61,26,103,101,37,0,0,12.732,NA,-
289,7.3211,80,90,3.1831,65,85,68,NA,59,0,NA,12.732,NA,-
290,14.642,88,63,4.4563,28,34,68,101,59,0,0,9.5493,NA,-
291,NA,80,42,NA,61,85,49,101,NA,0,NA,15.915,98,-
292,17.189,80,42,2.8648,28,NA,NA,101,59,0,0,NA,98,-
293,14.642,80,6,0.95493,28,NA,68,NA,37,0,744.53,NA,98,-
294,NA,80,90,3.1831,61,26,49,NA,59,0,0,12.732,98,-
295,14.642,80,90,3.1831,NA,NA,68,101,37,NA,0,12.732,98,-
296,NA,57,90,3.1831,61,96,103,101,37,0,0,12.732,98,-
297,7.3211,NA,42,2.8648,NA,71,68,101,37,0,0,7.9577,98,-
298,9.231,80,NA,2.8648,89,NA,68,101,NA,0,0,NA,98,-
299,6.0479,NA,90,3.1831,65,14,NA,NA,37,0,0,5.093,NA,-
300,6.0479,80,42,2.8648,65,NA,70,101,NA,0,0,12.732,NA,-
301,8.5944,80,20,4.138,65,26,68,101,59,0,NA,15.915,98,-
302,14.642,NA,18,3.8197,89,26,NA,101,59,0,0,12.732,98,-
303,10.823,80,42,2.8648,65,71,NA,101,37,0,0,11.141,98,-
304,14.006,80,90,3.1831,61,94,49,101,59,0,0,NA,NA,-
305,NA,80,90,3.1831,28,44,99,101,37,0,0,12.732,NA,-
306,6.3662,NA,42,NA,65,NA,70,NA,37,NA,0,11.141,NA,-
307,6.3662,80,90,3.1831,NA,44,73,101,59,0,0,NA,98,-
308,8.9127,80,90,NA,65,NA,NA,101,37,0,0,NA,NA,-
309,10.823,NA,19,3.5014,28,94,68,101,37,0,0,NA,98,-
310,8.9127,80,7,1.2732,NA,44,49,69,59,0,NA,NA,84,-
311,8.9127,80,42,2.8648,61,NA,49,101,59,0,0,12.732,98,-
312,14.642,NA,42,2.8648,61,26,49,101,59,0,NA,NA,98,-
313,10.186,80,90,3.1831,61,34,49,101,59,0,0,NA,98,-
314,NA,57,90,3.1831,28,71,NA,21,37,0,0,7.6394,98,-
315,7.6394,80,42,2.8648,65,44,99,21,37,0,0,NA,98,-
316,10.504,80,90,3.1831,28,34,99,101,37,0,0,12.732,98,-
317,9.8676,92,90,3.1831,61,58,49,101,59,0,0,12.732,NA,-
318,16.552,NA,5,0.63662,61,NA,49,101,59,0,0,12.732,NA,-
319,9.5493,80,3,2.2282,NA,71,73,101,37,NA,0,6.0479,NA,-
320,10.823,NA,3,2.2282,89,NA,68,21,NA,0,0,12.732,NA,-
321,10.823,92,42,NA,28,NA,99,101,37,0,0,12.732,NA,-
322,6.3662,NA,NA,3.1831,61,85,49,101,59,0,0,9.5493,NA,-
323,5.4113,80,3,2.2282,65,44,73,101,59,692.64,NA,5.7296,NA,-
324,NA,80,42,2.8648,NA,NA,68,101,NA,0,0,12.732,98,-
325,10.504,80,2,NA,65,26,99,101,37,0,0,NA,98,-
326,7.9577,NA,42,2.8648,61,NA,49,101,59,0,0,19.099,98,-
327,11.459,NA,63,4.4563,65,82,68,101,NA,0,448.18,NA,98,-
328,7.3211,80,42,2.8648,65,44,68,101,59,0,0,NA,NA,-
329,14.961,57,63,NA,61,82,49,101,59,0,0,12.732,NA,-
330,25.465,NA,42,2.8648,102,NA,NA,101,NA,NA,0,NA,NA,-
331,5.4113,NA,NA,2.2282,65,NA,73,101,59,0,0,12.732,NA,-
332,NA,88,20,4.138,62,82,68,101,37,692.01,0,12.732,98,-
333,NA,80,90,3.1831,65,26,73,17,59,NA,630.25,12.732,75,-
334,10.823,57,NA,2.8648,65,35,68,21,59,189.08,NA,19.099,98,-
335,10.823,57,90,3.1831,NA,83,68,101,NA,0,0,NA,98,-
336,7.3211,80,90,3.1831,NA,14,49,NA,59,0,0,12.732,98,-
337,13.369,NA,90,3.1831,61,14,103,101,37,0,0,12.732,NA,-
338,9.231,80,20,4.138,65,82,68,101,59,NA,0,12.732,98,-
339,14.324,80,42,2.8648,28,14,NA,101,37,0,0,NA,98,-
340,NA,36,42,2.8648,65,16,73,NA,59,0,0,12.732,98,-
341,8.5944,80,8,1.5915,65,26,70,101,59,0,NA,NA,64,-
342,6.3662,80,90,3.1831,65,85,NA,101,59,NA,0,11.141,98,-
343,14.006,80,42,2.8648,102,34,99,21,37,0,0,12.732,98,-
344,16.234,80,42,2.8648,NA,NA,49,15,59,0,NA,12.732,98,-
345,6.3662,80,42,NA,61,NA,NA,101,59,NA,0,12.732,98,-
346,5.4113,NA,3,NA,65,NA,NA,NA,37,NA,0,1.5915,98,-
347,NA,NA,42,NA,65,58,NA,21,NA,0,0,12.732,98,-
348,9.5493,80,42,2.8648,61,34,NA,101,37,NA,0,12.732,98,-
349,12.096,80,90,3.1831,NA,96,NA,21,59,0,0,15.915,98,-
350,7.3211,80,42,2.8648,61,96,49,101,59,0,0,19.099,98,-
351,10.186,NA,90,NA,61,NA,NA,101,59,0,0,12.732,NA,-
352,14.006,80,NA,3.8197,65,35,73,101,59,0,NA,12.732,98,-
353,17.189,57,42,2.8648,61,NA,49,21,59,0,0,NA,98,-
354,10.186,NA,NA,4.138,61,82,49,101,59,NA,0,15.915,NA,-
355,15.915,NA,5,0.63662,62,26,99,101,59,NA,0,12.732,98,-
356,7.6394,80,20,4.138,65,94,68,101,37,0,NA,6.3662,98,-
357,11.777,NA,42,2.8648,61,14,103,NA,37,NA,0,19.099,98,-
358,NA,80,42,NA,NA,96,99,101,59,0,0,12.732,98,-
